Date,AUSTRALIA,CANADA,DATE,FRANCE,GERMANY,JAPAN,NETHERLANDS,UK,US
1995-04-01,79.6039966999724,87.8933333333333,728383,106.19578170182,116.43,149.864582204851,102.163333333333,75.6239635330294,88.5077873053174
1995-07-01,83.8273652280436,89.93,728474,107.125773951884,114.89,134.86445720381,101.18,75.9439661997183,90.5577360565986
1995-10-01,86.137384478204,90.4766666666667,728566,107.629103090808,115.506666666667,123.497695814132,101.8,75.2372936441137,92.4210228077631
1996-01-01,88.1974016450137,89.9466666666667,728658,107.245772951893,113.583333333333,118.530987758231,100.886666666667,75.3739614496787,94.054315308784
1996-04-01,92.8441070342252,90.1633333333333,728749,106.365780285165,110.74,115.907632563605,98.97,76.0839673663947,94.054315308784
1996-07-01,92.0374336452804,89.2833333333333,728840,106.105782451814,111.156666666667,113.66094717456,99.1333333333333,77.0439753664613,93.5809938084881
1996-10-01,92.9274410620089,90.7166666666667,728932,105.012458229515,109.253333333333,109.310910924258,97.6533333333333,82.2173518112651,94.0376490587735
1997-01-01,93.707447562063,90.8666666666667,729024,102.662477812685,106.58,103.377528146068,94.9366666666667,86.877390644922,96.7442480604652
1997-04-01,92.6474387286561,88.9733333333333,729114,101.1158240348,104.826666666667,107.254227118559,93.72,89.1374094784123,97.2742348107964
1997-07-01,90.0407503395861,89.0466666666667,729205,98.7591770068586,102.543333333333,111.144259535496,91.6766666666667,91.9807665063875,98.3075423114422
1997-10-01,87.6040633671947,87.6633333333333,729297,100.64916125699,104.416666666667,108.550904590872,93.5766666666667,93.82411520096,101.267468313292
1998-01-01,89.0140751172926,87.4733333333333,729389,100.085832618062,103.463333333333,112.530937757815,93.2466666666667,96.820806840057,105.237369065773
1998-04-01,83.9840332002766,86.2233333333333,729479,100.4824959792,104.016666666667,103.724197701647,93.9833333333333,97.2541437845315,105.287367815805
1998-07-01,80.7006725056042,82.3033333333333,729570,101.185823451472,104.943333333333,100.284169034742,95.21,96.9408078400653,107.510645567194
1998-10-01,79.3339944499537,79.6866666666667,729662,101.985816784861,106.153333333333,113.674280619005,96.67,94.0607838398653,103.534078314709
1999-01-01,81.1540096167467,81.35,729754,100.182498479179,103.686666666667,116.757639646997,95.5166666666667,94.0274502287519,104.247393815155
1999-04-01,85.2973774781456,83.99,729844,98.1991816734864,101.443333333333,112.770939757831,93.8166666666667,96.1541346177885,105.187370315742
1999-07-01,84.7707064225535,83.01,729935,97.375855201207,100.83,119.737664480538,93.24,95.8507987566563,104.56071931535
1999-10-01,82.9773581446512,83.2266666666667,730027,96.2491979233509,99.28,128.704405870049,92.1933333333333,97.8974824790207,103.500745814688
2000-01-01,82.8940241168676,84.4733333333333,730119,94.6958775343542,96.8333333333333,125.43104525871,90.17,99.8374986458221,104.597385065373
2000-04-01,79.5573296444137,83.2566666666667,730210,92.9058924508966,94.6266666666667,127.294394119951,88.9333333333333,99.1808265068875,107.197320066998
2000-07-01,80.7506729222743,83.59,730301,92.0992325063961,93.3933333333333,126.551054592122,88.4133333333333,97.3641447012058,108.150629567594
2000-10-01,76.7606396719972,81.82,730393,90.9359088674264,92.4166666666667,125.244377036475,87.8066666666667,98.1241510345919,111.173887319484
2001-01-01,77.0073083942366,81.4733333333333,730485,92.9258922842313,95.0466666666667,115.570963091359,91.2433333333333,95.8507987566563,112.233860820147
2001-04-01,76.7339727831065,81.6866666666667,730575,91.7492354230384,93.59,112.214268452237,90.24,96.7774731456095,114.570469071606
2001-07-01,76.203968366403,81.1966666666667,730666,92.2458979508507,94.1666666666667,111.814265118876,91.29,96.7874732289436,114.057148571286
2001-10-01,76.8306402553354,78.94,730758,92.3992300064169,94.4333333333333,109.580913174276,92.06,96.6608055067125,114.697132571686
